Checkpoint;Opponent;Game Moves;Winner
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 J4 I10 D10 E8 D8 D9 B10 C9 B9 C7 C8 E6 A8 B6 G5 H2 F7 E7 J2 F8 H7 G9 I8 H10 K9 J11 H9 G10 J9 D7 J10 I11 K10 K11 B8 B7 A7 A6 G7 G8;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 J4 I6 D10 E8 G7 H5 F6 G4 E5 E4 F4 G2 F3 F9 H8 H9 G9 F2 G3 H2 J3 J1 K1 K5 I5 H6 J5 J6 E3 E2 D3 D2 C3 C2 A3 H3 G5 H4 A4 B1 B2 C1 A2 A1;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 J4 H9 J9 J2 H3 I1 G2 G5 E6 F4 I4 I6 K5 J7 H5 G7 F7 G6 D5 E9 B10 C8 D9 E7 F6 E8 F8 F9 G8 G9 I8 H8 I7 J6 A9 H7 A8 B6 B7 C6 C7 D6 D7 E5 F5 G4 H4 D8 B9 A7 K6 K7;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 J4 J11 D10 E8 D8 D9 B10 C9 G7 F9 H8 G10 I9 H11 I11 I10 B9 C8 B8 C6 A7 B5 C7 D6 D7 E6 E7 F6 F7 H5 I6 I3 K2 K1 J2 J3 K3 J1 I2 I1 H2 H1 G2 G1 F2 F1 E2 E1 D2 D1 C1 C2 A2 A3;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 J4 I8 D10 E8 D8 D9 B10 C9 B9 C8 B8 C6 C7 D6 D7 E6 E7 F6 F7 G6 H6 G7 H7 G8 H8 H5 I5 I3 K2 K1 J2 J3 K3 J1 I2 G10 H9 H10 F9 G9 F10 I9 K8 J7 F8 A7 E11 B7 K7 K6;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 H4 G8 D8 C11 E6 I1 B10 G2 E3 F1 D2 F4 D5 C9 B9 C7 C8 D7 E7 C4 D3 D4 E4 E5 D6 B11 A11 E1 D1;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 H4 G6 H6 H5 J4 I5 J5 J6 I6 I3 K2 K1 J2 J1 I2 I1 G2 H2 G3 I4 J3 H3 G4 F6 D7 C10 B10 E5 D5 D6 B7 C7 A9 C6 B6 C5 B5 C4 B4 C3 A4 A3 E3 E6;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 H4 G7 D8 C11 E6 I1 B10 G2 E3 F1 D2 F4 D5 C9 B9 C7 C8 D7 E7 C4 D3 D4 E4 E5 D6 C10 B11 E1 D1;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 H4 H9 D8 C11 E10 I1 G2 E9 F9 F8 G8 G7 H7 H6 J5 I6 J6 K3 I4 I7 J7 I9 K8 J10 I8 H8 J8 C10 B10 C9 B9 C8 B8 C7 B7 C5 C6 D5 D6 E5 E6 F5 F6 G5 G6 H5 I5 A6 E7 J9 K10 K9 B6 B5;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 H4 F7 D8 C11 E6 I1 B10 G2 E3 F1 D2 F4 D5 C9 B9 C7 C8 D7 E7 C4 D3 D4 E4 E5 D6 E1 D1 B11 A11;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 J9 J11 K11 F6 D7 C10 B10 E5 D5 D6 B7 C7 H5 I2 J2 G7 I6 J3 I3 H8 J7 J8 I8 I9 H9 G11 H10 I4 H4 I5 H6 I7 J6 H11 F10 G10 G9 J1 K1 F11 E11;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 J9 I5 G5 G6 E7 D10 F5 G2 C10 H3 K2 D8 C8 C9 D9 E8 F7 F8 G7 G8 H7 H8 J7 J8 I8 I7 J6 J5 I6 I9 H9 G11 H10 I4 G4 E3 G3 H2 C4 D2 D3 E2 C3 C2 A3 F3 F4 H4 K3 K5 J1 A4;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 J9 J4 G5 H2 I2 F7 H6 G8 I7 I3 H3 H9 J8 I11 K10 H5 G6 H7 I6 H8 I8 I10 J10 J11 K11 G4 H4 I1 J1;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 J9 J6 H6 H7 G7 F9 G8 I4 G5 G4 H4 I2 H3 H2 J2 I3 K3 J5 G3 G2 F2 F3 E3 E4 C5 D4 C4 D3 C3 D6 C7 C6 A7 B7 A8 B6 A6 B5 A5 B4 A4 A3 J4 I5 K4 D5 K5 K6;Test Model
